Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",113.383160,-68.077080,180.000000,top
"C2","2.2uF","C_0805_2012Metric_L",113.388140,-69.519800,180.000000,top
"D11","D_Schottky","SOD323(F)",109.133640,-69.857620,0.000000,top
"L1","10uH","NRS4012T100MDGJ",103.129080,-69.834760,0.000000,top
"R1","3K","R_0402_1005Metric",117.187980,-69.834760,270.000000,top
"R2","9.5k","R_0402_1005Metric",107.154980,-68.541900,270.000000,top
"R3","9.5k","R_0402_1005Metric",106.286300,-68.541900,90.000000,top
"R4","3K","R_0402_1005Metric",118.112540,-69.834760,270.000000,top
"U1","LM3509SD_NOPB","LM3509SD&slash_NOPB",109.626400,-67.152520,0.000000,top
