Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",115.011200,-68.808600,180.000000,top
"C2","2.2uF","C_0805_2012Metric_L",114.909600,-70.180200,180.000000,top
"D17","D_Schottky","SOD323(F)",110.103400,-69.965400,0.000000,top
"L1","10uH","NRS4012T100MDGJ",102.833095,-70.952848,38.000000,top
"R1","3K","R_0402_1005Metric",114.681000,-67.767200,0.000000,top
"R2","9.5k","R_0402_1005Metric",107.061000,-68.884800,180.000000,top
"R3","9.5k","R_0402_1005Metric",107.061000,-67.564000,0.000000,top
"R4","3K","R_0402_1005Metric",114.681000,-66.878200,0.000000,top
"U1","LM3509SD_NOPB","LM3509SD&slash_NOPB",110.045200,-67.418600,0.000000,top
